🕘️更新时间,#genre#
2026-04-21 22:13:42,http://192.168.3.53:8080/hls/-7824823314107533300.m3u8

CCTV,#genre#
CCTV1,http://192.168.3.53:8080/hls/-7824823314107533300.m3u8
CCTV1,http://192.168.3.53:8080/hls/7636599647191190675.m3u8
CCTV2,http://192.168.3.53:8080/hls/7094334045862645326.m3u8
CCTV2,http://192.168.3.53:8080/hls/8530094812943819036.m3u8
CCTV3,http://192.168.3.53:8080/hls/-6700372995611450687.m3u8
CCTV3,http://192.168.3.53:8080/hls/4555964339051996094.m3u8
CCTV4,http://192.168.3.53:8080/hls/-3642827896429459328.m3u8
CCTV4,http://192.168.3.53:8080/hls/8148331960710093409.m3u8
CCTV4欧洲,http://192.168.3.53:8080/hls/2380054879968560269.m3u8
CCTV4美洲,http://192.168.3.53:8080/hls/-2042621672938220332.m3u8
CCTV5,http://192.168.3.53:8080/hls/-8383963621973708534.m3u8
CCTV5,http://192.168.3.53:8080/hls/-1275218793786851527.m3u8
CCTV5+,http://192.168.3.53:8080/hls/-6842918611726083417.m3u8
CCTV5+,http://192.168.3.53:8080/hls/3530577769076426101.m3u8
CCTV6,http://192.168.3.53:8080/hls/-1391185800420578867.m3u8
CCTV6,http://192.168.3.53:8080/hls/8983244423060656958.m3u8
CCTV7,http://192.168.3.53:8080/hls/-4845428536183799133.m3u8
CCTV7,http://192.168.3.53:8080/hls/-5989256721286792964.m3u8
CCTV8,http://192.168.3.53:8080/hls/-1158003771123840164.m3u8
CCTV8,http://192.168.3.53:8080/hls/1849220774532329636.m3u8
CCTV9,http://192.168.3.53:8080/hls/-1417936871818597818.m3u8
CCTV9,http://192.168.3.53:8080/hls/5616754744673810418.m3u8
CCTV10,http://192.168.3.53:8080/hls/5108007713381688464.m3u8
CCTV10,http://192.168.3.53:8080/hls/7386127853315001772.m3u8
CCTV11,http://192.168.3.53:8080/hls/6828327281673123216.m3u8
CCTV11,http://192.168.3.53:8080/hls/7638838716624282452.m3u8
CCTV12,http://192.168.3.53:8080/hls/-6477790147043010023.m3u8
CCTV12,http://192.168.3.53:8080/hls/-176535917451048171.m3u8
CCTV13,http://192.168.3.53:8080/hls/-8129627114397553225.m3u8
CCTV13,http://192.168.3.53:8080/hls/-1373940465775095862.m3u8
CCTV14,http://192.168.3.53:8080/hls/3747360622166203685.m3u8
CCTV14,http://192.168.3.53:8080/hls/-4901131681789263553.m3u8
CCTV15,http://192.168.3.53:8080/hls/5815052701808999626.m3u8
CCTV15,http://192.168.3.53:8080/hls/-8368956906594724162.m3u8
CCTV16,http://192.168.3.53:8080/hls/1708897124584190591.m3u8
CCTV17,http://192.168.3.53:8080/hls/7368745496475458172.m3u8

CETV,#genre#
CETV1,http://192.168.3.53:8080/hls/-9114818932138867119.m3u8
CETV2,http://192.168.3.53:8080/hls/2035397146498992736.m3u8
CETV3,http://192.168.3.53:8080/hls/6208169921262280571.m3u8
CETV4,http://192.168.3.53:8080/hls/6642316552872762949.m3u8

CGTN,#genre#

卫视,#genre#
北京卫视,http://192.168.3.53:8080/hls/-2701566900914865765.m3u8
北京卫视,http://192.168.3.53:8080/hls/13469644104659170.m3u8
东方卫视,http://192.168.3.53:8080/hls/-474476275271696308.m3u8
东方卫视,http://192.168.3.53:8080/hls/-3203242018734132588.m3u8
东方卫视,http://192.168.3.53:8080/hls/-3210282106609804491.m3u8
广东卫视,http://192.168.3.53:8080/hls/5826344081498634420.m3u8
广东卫视,http://192.168.3.53:8080/hls/-1567707743167811394.m3u8
浙江卫视,http://192.168.3.53:8080/hls/-1278691297650472966.m3u8
