ID: 6612131616898439241, 名称: Red Bull TV, 接口: https://0b73ace69ebb45eaa249bb87837cb958.mediatailor.us-west-2.amazonaws.com/v1/manifest/ba62fe743df0fe93366eba3a257d792884136c7f/LINEAR-644-WORBUSENFAST-LG_US/a9fb7059-0e09-45d6-a75e-7740c2bf8316/1.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 美国-俄勒冈州-姆尔特诺默县, 运营商: Amazon数据中心, 延迟: 452 ms, 速率: 9.50 M/s, 分辨率: 1920x1080, 帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
ID: 1900260509962220259, 名称: MTV Live, 接口: http://bgdc.live:25461/live/catrinamcdermott/catrinamcdermott/31498.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 美国-弗吉尼亚州, 运营商: OVH数据中心, 延迟: 254 ms, 速率: 13.62 M/s, 分辨率: 1280x720, 帧率: 29.97, 视频编解码器: h264, 音频编解码器: aac
ID: -3327393700673309656, 名称: HBO, 接口: http://23.237.104.106:8080/USA_HBO/index.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 加拿大, 运营商: , 延迟: 705 ms, 速率: 3.63 M/s, 分辨率: 1920x1080, 帧率: 59.94005994005994, 视频编解码器: h264, 音频编解码器: aac
ID: 482443766489420427, 名称: HBO Hits, 接口: http://23.237.104.106:8080/USA_HBO2/index.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 加拿大, 运营商: , 延迟: 946 ms, 速率: 7.48 M/s, 分辨率: 1920x1080, 帧率: 59.94005994005994, 视频编解码器: h264, 音频编解码器: aac
ID: 7949968705039028192, 名称: Fox News, 接口: http://kstv.us:8080/4VUyfZBQzk/95104974615/22530, 来源: 订阅源, 协议类型: ipv4, 位置: 美国, 运营商: , 延迟: 290 ms, 速率: 0.82 M/s, 分辨率: 1280x720, 帧率: 59.94005994005994, 视频编解码器: h264, 音频编解码器: aac
ID: -1581495246163809267, 名称: MS NOW, 接口: http://kstv.us:8080/4VUyfZBQzk/95104974615/22506, 来源: 订阅源, 协议类型: ipv4, 位置: 美国, 运营商: , 延迟: 429 ms, 速率: 0.54 M/s, 分辨率: 1280x720, 帧率: 59.94005994005994, 视频编解码器: h264, 音频编解码器: aac
ID: 4147002288966080875, 名称: C-SPAN, 接口: http://kstv.us:8080/4VUyfZBQzk/95104974615/48417, 来源: 订阅源, 协议类型: ipv4, 位置: 美国, 运营商: , 延迟: 476 ms, 速率: 1.05 M/s, 分辨率: 1920x1080, 帧率: 59.94005994005994, 视频编解码器: h264, 音频编解码器: aac
ID: -3928261137583142367, 名称: BBC News UK, 接口: https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8, 来源: 订阅源, 协议类型: ipv4, 位置: 秘鲁, 运营商: Akamai节点, 延迟: 425 ms, 速率: 8.05 M/s, 分辨率: 1280x720, 帧率: 50.0, 视频编解码器: h264, 音频编解码器: aac
ID: 6884560369428888070, 名称: CNBC, 接口: http://aflaxtv.xyz:8080/mitrovic/19106b7cb4/2295, 来源: 订阅源, 协议类型: ipv4, 位置: 欧盟, 运营商: , 延迟: 229 ms, 速率: 0.21 M/s, 分辨率: 1280x720, 帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
ID: 2839887828534437857, 名称: ESPNU, 接口: https://xemzi.short.gy/40000013, 来源: 订阅源, 协议类型: ipv4, 位置: 美国, 运营商: , 延迟: 649 ms, 速率: 1.96 M/s, 分辨率: 1280x720, 帧率: 59.94005994005994, 视频编解码器: h264, 音频编解码器: aac
ID: 1458290239698076351, 名称: ESPN2, 接口: http://bgdc.live:25461/catrinamcdermott/catrinamcdermott/38227, 来源: 订阅源, 协议类型: ipv4, 位置: 美国-弗吉尼亚州, 运营商: OVH数据中心, 延迟: 241 ms, 速率: 15.72 M/s, 分辨率: 1280x720, 帧率: 29.97002997002997, 视频编解码器: h264, 音频编解码器: aac
