分类: 🌏台湾, 名称: MTV Live, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 216 ms, 最高速率: 13.54 M/s, 平均速率: 13.54 M/s, 最高分辨率: 1280x720, 平均帧率: 29.97, 视频编解码器: h264, 音频编解码器: aac
分类: 📺综合, 名称: HBO, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 821 ms, 最高速率: 4.73 M/s, 平均速率: 4.73 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺综合, 名称: HBO Hits, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 930 ms, 最高速率: 6.83 M/s, 平均速率: 6.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺综合, 名称: Red Bull TV, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 2119 ms, 最高速率: 3.95 M/s, 平均速率: 3.95 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国新闻, 名称: Fox News, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 44 ms, 最高速率: 1.18 M/s, 平均速率: 1.18 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国新闻, 名称: Fox Business, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 1769 ms, 最高速率: 0.22 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 59.94, 视频编解码器: h264, 音频编解码器: ac3
分类: 🌎英国新闻, 名称: BBC News UK, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 203 ms, 最高速率: 15.91 M/s, 平均速率: 15.91 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国新闻, 名称: MS NOW, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 464 ms, 最高速率: 0.75 M/s, 平均速率: 0.75 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国新闻, 名称: C-SPAN, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 516 ms, 最高速率: 0.98 M/s, 平均速率: 0.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国新闻, 名称: CNBC, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 180 ms, 最高速率: 0.22 M/s, 平均速率: 0.22 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: ESPNU, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 527 ms, 最高速率: 1.95 M/s, 平均速率: 1.95 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国新闻, 名称: NewsNation, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 8771 ms, 最高速率: 0.58 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: ESPN, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 10635 ms, 最高速率: 0.26 M/s, 平均速率: 0.26 M/s, 最高分辨率: 1280x720, 平均帧率: 59.94, 视频编解码器: h264, 音频编解码器: aac
分类: 🌎美国体育, 名称: SEC Network, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 600 ms, 最高速率: 5.94 M/s, 平均速率: 5.94 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: ESPN2, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 161 ms, 最高速率: 2.84 M/s, 平均速率: 2.84 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: ESPNEWS, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 187 ms, 最高速率: 1.59 M/s, 平均速率: 1.59 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: ESPN Deportes, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 375 ms, 最高速率: 1.09 M/s, 平均速率: 1.09 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: ACC Network, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 90 ms, 最高速率: 0.55 M/s, 平均速率: 0.55 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: FS1, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 183 ms, 最高速率: 1.15 M/s, 平均速率: 1.15 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: CBS Sports Network, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 481 ms, 最高速率: 1.65 M/s, 平均速率: 1.65 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: NBC Sports Bay Area, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 105 ms, 最高速率: 4.20 M/s, 平均速率: 4.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: FS2, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 217 ms, 最高速率: 0.91 M/s, 平均速率: 0.91 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌎美国体育, 名称: beIN SPORTS XTRA, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 84 ms, 最高速率: 40.18 M/s, 平均速率: 40.18 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
